                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1454,                 3.8039,                 1.5794,                0.01121,                0.91587,                0.15007,                0.09039,                0.96051,                 3.4267,                 1.6439,             0.00015625,             0.00015625,             0.00015625
                      2,                 1.0804,                 3.3965,                 1.5541,                0.00828,                0.96459,                0.18401,                0.10921,                 1.1819,                 3.1038,                 1.8375,             0.00031559,             0.00031559,             0.00031559
                      3,                 1.1535,                 3.0303,                 1.6011,                0.35838,                0.21998,                0.22898,                0.10741,                  1.426,                 2.7539,                 2.1278,             0.00047172,             0.00047172,             0.00047172
                      4,                 1.1645,                 2.7373,                 1.5839,                0.30306,                0.37525,                0.29273,                0.15807,                 1.4261,                 2.6775,                 2.1023,             0.00060644,             0.00060644,             0.00060644
                      5,                 1.1734,                 2.5747,                   1.61,                0.52412,                0.32079,                 0.3653,                 0.1823,                 1.4816,                 2.7878,                  2.195,             0.00060025,             0.00060025,             0.00060025
                      6,                 1.1889,                 2.4308,                 1.5985,                0.40123,                0.37315,                0.34158,                0.17654,                 1.5153,                 3.5141,                 2.2839,             0.00059406,             0.00059406,             0.00059406
                      7,                 1.2156,                  2.383,                 1.6272,                0.57957,                0.32645,                0.38143,                0.20903,                 1.4339,                 2.4446,                 2.1785,             0.00058787,             0.00058787,             0.00058787
                      8,                 1.1698,                 2.2593,                 1.5483,                0.29907,                0.51193,                0.38167,                0.19446,                 1.5409,                 2.3942,                 2.2812,             0.00058169,             0.00058169,             0.00058169
                      9,                 1.1864,                 2.2186,                 1.5952,                0.40997,                0.53449,                 0.4754,                0.25834,                 1.4496,                 2.3649,                 2.0871,              0.0005755,              0.0005755,              0.0005755
                     10,                 1.2183,                 2.2781,                 1.6292,                0.52269,                0.51308,                0.56203,                0.30823,                 1.3165,                 2.0452,                 2.0256,             0.00056931,             0.00056931,             0.00056931
                     11,                 1.1663,                 2.0724,                 1.5512,                0.59309,                0.51609,                0.57156,                0.29442,                 1.4705,                 2.0503,                 2.0986,             0.00056313,             0.00056313,             0.00056313
                     12,                 1.1313,                 2.0132,                 1.5323,                0.62168,                0.47854,                0.48255,                0.25003,                 1.4116,                 2.2222,                 2.0103,             0.00055694,             0.00055694,             0.00055694
                     13,                 1.1538,                 1.9719,                 1.5549,                 0.6983,                0.42604,                 0.5085,                0.27243,                 1.4226,                 2.0995,                 2.1331,             0.00055075,             0.00055075,             0.00055075
                     14,                 1.1238,                 1.9311,                 1.5367,                0.65919,                0.49759,                0.60014,                0.37387,                 1.2981,                 1.8354,                 1.9968,             0.00054456,             0.00054456,             0.00054456
                     15,                 1.1235,                 1.8882,                 1.5227,                0.77966,                0.38643,                0.54593,                0.29694,                  1.461,                 2.0559,                 2.1999,             0.00053838,             0.00053838,             0.00053838
                     16,                 1.0775,                 1.8925,                  1.493,                0.46484,                0.64584,                0.60896,                0.35474,                 1.3644,                  1.869,                 2.0063,             0.00053219,             0.00053219,             0.00053219
                     17,                 1.1201,                 1.8346,                 1.5193,                0.68119,                0.54765,                0.62113,                0.36592,                 1.3551,                 1.8358,                 1.9791,               0.000526,               0.000526,               0.000526
                     18,                 1.1254,                 1.8037,                 1.5073,                0.74637,                 0.5373,                0.67337,                0.39346,                 1.4019,                 1.6188,                   2.01,             0.00051981,             0.00051981,             0.00051981
                     19,                 1.0607,                 1.6677,                 1.4816,                0.64946,                0.53977,                0.62813,                 0.3867,                 1.3127,                 1.8395,                 1.9201,             0.00051363,             0.00051363,             0.00051363
                     20,                 1.0514,                 1.6813,                 1.4904,                0.57578,                0.64319,                0.66278,                 0.4041,                 1.2942,                 1.8045,                 1.9268,             0.00050744,             0.00050744,             0.00050744
                     21,                 1.1004,                  1.607,                 1.4923,                0.74843,                0.57323,                0.68112,                0.40132,                 1.3399,                 1.6818,                 1.9234,             0.00050125,             0.00050125,             0.00050125
                     22,                 1.0261,                 1.5816,                 1.4479,                0.65995,                0.54178,                 0.6329,                0.37745,                 1.3851,                  1.733,                 2.0104,             0.00049506,             0.00049506,             0.00049506
                     23,                 1.0675,                 1.5697,                 1.4539,                0.69912,                0.62452,                0.65211,                0.40334,                 1.3077,                 1.6709,                 1.9321,             0.00048888,             0.00048888,             0.00048888
                     24,                 1.0442,                 1.6016,                  1.434,                0.73752,                0.55954,                 0.6701,                0.42603,                 1.3032,                 1.5972,                 1.9382,             0.00048269,             0.00048269,             0.00048269
                     25,                 1.0216,                 1.4859,                 1.4113,                 0.7002,                 0.5571,                0.64902,                0.38503,                 1.3768,                  1.697,                 2.0333,              0.0004765,              0.0004765,              0.0004765
                     26,                 1.0261,                 1.5412,                 1.4359,                0.68524,                0.62852,                0.67378,                0.41212,                 1.3085,                 1.6652,                 1.9439,             0.00047031,             0.00047031,             0.00047031
                     27,                 1.0192,                 1.4622,                 1.4139,                0.61603,                 0.6059,                0.67115,                0.41242,                   1.26,                 1.5924,                 1.8471,             0.00046413,             0.00046413,             0.00046413
                     28,                0.98536,                  1.346,                 1.4106,                0.66208,                0.61777,                0.67493,                0.39194,                 1.3189,                 1.6507,                 1.9218,             0.00045794,             0.00045794,             0.00045794
                     29,                 1.0451,                 1.5042,                 1.4328,                0.63914,                0.58374,                 0.6706,                0.42061,                 1.2827,                 1.5837,                 1.9038,             0.00045175,             0.00045175,             0.00045175
                     30,                0.97283,                 1.3938,                 1.3973,                0.63399,                0.55825,                0.63892,                0.40545,                 1.3039,                 1.6757,                 1.9566,             0.00044556,             0.00044556,             0.00044556
                     31,                 1.0006,                 1.3866,                 1.4139,                0.67792,                0.69672,                0.73903,                0.45887,                 1.2945,                 1.4252,                   1.93,             0.00043937,             0.00043937,             0.00043937
                     32,                0.93112,                 1.3325,                 1.3761,                0.68647,                0.64448,                0.70205,                0.44744,                  1.364,                 1.5505,                 2.0291,             0.00043319,             0.00043319,             0.00043319
                     33,                 0.9633,                  1.314,                 1.3782,                0.70975,                0.55891,                 0.6543,                0.41395,                 1.3311,                 1.5571,                 1.9908,               0.000427,               0.000427,               0.000427
                     34,                0.92897,                 1.3327,                 1.3713,                0.56141,                0.69337,                 0.6767,                  0.425,                 1.3315,                 1.5144,                 2.0194,             0.00042081,             0.00042081,             0.00042081
                     35,                0.91794,                 1.2651,                 1.3669,                0.59797,                  0.682,                0.67634,                0.40168,                 1.5082,                 1.5493,                  2.065,             0.00041462,             0.00041462,             0.00041462
                     36,                0.92707,                 1.2343,                 1.3384,                0.72333,                0.65599,                0.71345,                0.46199,                 1.2586,                 1.4043,                 1.8546,             0.00040844,             0.00040844,             0.00040844
                     37,                0.93456,                  1.308,                  1.392,                0.64995,                0.74455,                 0.7501,                 0.4558,                 1.3294,                   1.47,                 2.0029,             0.00040225,             0.00040225,             0.00040225
                     38,                0.92524,                 1.1821,                  1.359,                0.69169,                0.69622,                0.75158,                0.47283,                 1.2788,                 1.3703,                 1.8886,             0.00039606,             0.00039606,             0.00039606
                     39,                0.91795,                 1.1841,                 1.3645,                0.71882,                0.61364,                0.70617,                0.42452,                 1.3117,                 1.5726,                  1.929,             0.00038988,             0.00038988,             0.00038988
                     40,                0.88985,                  1.223,                 1.3543,                0.70189,                0.61242,                0.68148,                0.37595,                 1.4745,                 1.6679,                 2.1982,             0.00038369,             0.00038369,             0.00038369
                     41,                0.91405,                 1.1902,                 1.3294,                0.65044,                0.66807,                0.69028,                0.44108,                 1.2548,                 1.4527,                 1.8435,              0.0003775,              0.0003775,              0.0003775
                     42,                0.90434,                  1.149,                   1.35,                0.72065,                0.66586,                 0.7375,                0.44793,                 1.2865,                 1.4835,                 1.9205,             0.00037131,             0.00037131,             0.00037131
                     43,                0.88961,                 1.1206,                 1.3197,                0.63021,                0.68258,                0.73591,                0.48095,                 1.2356,                 1.3255,                 1.8474,             0.00036513,             0.00036513,             0.00036513
                     44,                0.89592,                 1.1641,                 1.3255,                0.75303,                0.70348,                 0.7719,                0.51297,                 1.1917,                  1.298,                 1.8331,             0.00035894,             0.00035894,             0.00035894
                     45,                0.85813,                 1.1154,                  1.295,                0.73511,                0.74294,                0.75795,                0.46928,                 1.2788,                 1.3192,                 1.9275,             0.00035275,             0.00035275,             0.00035275
                     46,                0.88495,                 1.1237,                 1.3303,                0.76314,                0.67099,                0.70561,                 0.4086,                 1.3745,                 1.4901,                 2.0551,             0.00034656,             0.00034656,             0.00034656
                     47,                0.88703,                 1.0655,                 1.3399,                0.76679,                0.58933,                0.70976,                 0.4237,                 1.3127,                 1.4572,                 1.9187,             0.00034038,             0.00034038,             0.00034038
                     48,                0.87823,                 1.0995,                 1.3174,                0.71421,                0.66927,                0.75025,                0.49188,                 1.1804,                 1.3189,                 1.8082,             0.00033419,             0.00033419,             0.00033419
                     49,                0.82222,                 1.0061,                 1.2762,                0.76528,                0.70842,                0.77752,                0.48504,                 1.3237,                 1.2805,                 1.9894,               0.000328,               0.000328,               0.000328
                     50,                0.81568,                 1.0355,                 1.2862,                0.75764,                0.72401,                0.78077,                0.48461,                 1.3234,                 1.3509,                 1.9556,             0.00032181,             0.00032181,             0.00032181
                     51,                0.84552,                0.98477,                 1.2953,                0.76187,                0.66142,                0.78748,                 0.4963,                  1.258,                 1.3417,                 1.9237,             0.00031562,             0.00031562,             0.00031562
                     52,                0.83288,                 1.0077,                 1.2901,                0.71525,                0.69936,                0.77029,                0.46514,                 1.2906,                 1.3354,                 1.9667,             0.00030944,             0.00030944,             0.00030944
                     53,                0.83918,                0.99483,                 1.2773,                0.82502,                0.72524,                0.81163,                0.49705,                 1.2889,                 1.1814,                 1.9475,             0.00030325,             0.00030325,             0.00030325
                     54,                0.82529,                0.96782,                  1.276,                0.78724,                0.68949,                0.78545,                 0.5105,                 1.2775,                 1.3221,                 1.9481,             0.00029706,             0.00029706,             0.00029706
                     55,                0.80034,                0.94142,                 1.2477,                0.74777,                0.72924,                0.78566,                0.51741,                 1.2609,                  1.275,                 1.9341,             0.00029088,             0.00029088,             0.00029088
                     56,                0.80508,                0.95933,                 1.2732,                0.69257,                 0.8096,                0.80033,                0.51722,                 1.2568,                 1.1903,                 1.9067,             0.00028469,             0.00028469,             0.00028469
                     57,                0.83006,                 1.0008,                 1.2915,                0.73529,                0.69802,                0.79003,                0.47932,                 1.3774,                 1.2792,                 2.0385,              0.0002785,              0.0002785,              0.0002785
                     58,                0.78832,                0.89855,                 1.2492,                0.79536,                0.70694,                0.78067,                0.48365,                 1.3831,                  1.311,                 2.0625,             0.00027231,             0.00027231,             0.00027231
                     59,                0.81855,                 1.0021,                 1.2833,                0.74745,                0.64543,                0.74336,                0.46448,                 1.3941,                 1.3919,                 2.1158,             0.00026613,             0.00026613,             0.00026613
                     60,                0.80775,                0.92814,                 1.2577,                0.71237,                0.76026,                0.79359,                0.52938,                 1.2536,                 1.1936,                 1.9255,             0.00025994,             0.00025994,             0.00025994
                     61,                 0.8043,                0.96491,                 1.2536,                0.84169,                0.68005,                0.82202,                0.54252,                 1.2297,                 1.1798,                 1.8671,             0.00025375,             0.00025375,             0.00025375
                     62,                0.75775,                0.92296,                 1.2217,                0.89357,                0.68604,                0.82649,                0.54298,                 1.2507,                  1.201,                 1.9059,             0.00024756,             0.00024756,             0.00024756
                     63,                0.78133,                0.95732,                 1.2493,                0.83688,                0.71771,                0.82063,                0.51424,                 1.3146,                  1.235,                 2.0227,             0.00024137,             0.00024137,             0.00024137
                     64,                0.76544,                0.88427,                 1.2317,                 0.8601,                0.72485,                0.83196,                0.53427,                 1.3009,                 1.1785,                 1.9651,             0.00023519,             0.00023519,             0.00023519
                     65,                0.76789,                0.91493,                 1.2385,                0.81409,                 0.7676,                0.81746,                  0.524,                 1.3044,                  1.148,                 1.9658,               0.000229,               0.000229,               0.000229
                     66,                0.74539,                0.86956,                 1.2159,                0.78106,                0.77596,                0.81068,                0.48051,                 1.3734,                 1.2998,                  2.103,             0.00022281,             0.00022281,             0.00022281
                     67,                0.73722,                0.83394,                 1.2063,                0.78623,                0.70317,                0.80005,                0.52251,                  1.299,                 1.1657,                 1.9744,             0.00021662,             0.00021662,             0.00021662
                     68,                0.74622,                 0.8384,                 1.2212,                0.74069,                0.79175,                0.80758,                0.51609,                  1.275,                 1.1987,                  1.958,             0.00021044,             0.00021044,             0.00021044
                     69,                0.74146,                0.87239,                 1.2343,                  0.746,                0.80747,                0.82159,                0.51379,                 1.3394,                 1.2043,                 2.0374,             0.00020425,             0.00020425,             0.00020425
                     70,                0.74863,                0.88659,                 1.2413,                0.82923,                0.72842,                0.83012,                0.54323,                 1.3004,                 1.1516,                 1.9945,             0.00019806,             0.00019806,             0.00019806
                     71,                0.74745,                0.87018,                 1.2219,                0.83106,                0.71073,                 0.8229,                0.54141,                 1.3092,                 1.1572,                 1.9949,             0.00019188,             0.00019188,             0.00019188
                     72,                0.70803,                 0.8504,                 1.2037,                0.77292,                0.74188,                0.81355,                0.53287,                 1.2881,                 1.1566,                 1.9673,             0.00018569,             0.00018569,             0.00018569
                     73,                0.70571,                0.82565,                 1.2018,                 0.7664,                 0.7314,                 0.8212,                0.52995,                 1.2524,                 1.1535,                 1.9024,              0.0001795,              0.0001795,              0.0001795
                     74,                0.71796,                0.84554,                 1.2039,                0.83085,                0.73998,                0.81566,                0.53401,                 1.2342,                 1.1968,                 1.9307,             0.00017331,             0.00017331,             0.00017331
                     75,                0.68965,                0.79951,                 1.1775,                0.80636,                 0.7577,                0.80773,                0.52393,                 1.2633,                 1.2545,                 1.9316,             0.00016713,             0.00016713,             0.00016713
                     76,                0.72443,                0.82298,                  1.209,                0.76953,                0.75789,                0.82911,                0.54005,                  1.268,                 1.1473,                   1.94,             0.00016094,             0.00016094,             0.00016094
                     77,                0.70185,                0.79999,                 1.1947,                0.81585,                0.82453,                0.84691,                0.54868,                 1.2644,                 1.0693,                 1.9129,             0.00015475,             0.00015475,             0.00015475
                     78,                0.70303,                0.81406,                 1.1846,                0.82869,                0.81131,                0.86078,                0.54486,                  1.247,                 1.0462,                 1.8987,             0.00014856,             0.00014856,             0.00014856
                     79,                0.67814,                0.77328,                 1.1921,                0.84138,                0.78294,                0.84955,                 0.5514,                 1.2439,                 1.0501,                 1.9432,             0.00014237,             0.00014237,             0.00014237
                     80,                0.65598,                0.74341,                 1.1579,                0.74561,                0.81053,                 0.8252,                0.53358,                 1.2883,                  1.096,                 1.9977,             0.00013619,             0.00013619,             0.00013619
                     81,                 0.6635,                0.78997,                 1.1702,                0.85251,                0.74438,                0.81098,                0.51621,                  1.351,                 1.1236,                 2.0843,                0.00013,                0.00013,                0.00013
                     82,                 0.6569,                0.75849,                 1.1691,                0.82327,                0.77319,                0.82626,                0.53423,                 1.2751,                 1.1018,                 2.0027,             0.00012381,             0.00012381,             0.00012381
                     83,                0.65236,                0.74843,                 1.1631,                0.75326,                0.78157,                0.81688,                 0.5313,                 1.2852,                 1.1149,                 1.9919,             0.00011763,             0.00011763,             0.00011763
                     84,                0.64937,                0.73769,                 1.1606,                0.77067,                0.77809,                0.82725,                0.52899,                  1.309,                 1.0879,                 2.0316,             0.00011144,             0.00011144,             0.00011144
                     85,                0.66053,                0.71599,                 1.1729,                0.74323,                0.81992,                0.79858,                0.52028,                 1.2993,                 1.1196,                  2.026,             0.00010525,             0.00010525,             0.00010525
                     86,                0.64702,                0.72369,                 1.1369,                0.82039,                0.72956,                0.80335,                0.51169,                 1.2889,                 1.1231,                 2.0237,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     87,                 0.6233,                0.70806,                 1.1469,                0.79766,                0.80757,                0.82938,                0.54004,                 1.2643,                 1.1137,                 1.9522,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     88,                0.66112,                0.71648,                 1.1656,                0.78606,                0.79784,                0.83321,                0.54989,                 1.2775,                 1.0857,                 1.9645,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     89,                0.65673,                0.77831,                 1.1737,                0.76836,                0.82827,                0.83642,                0.52849,                 1.2721,                 1.1062,                 1.9924,               8.05e-05,               8.05e-05,               8.05e-05
                     90,                0.62713,                0.70886,                 1.1347,                0.79276,                0.80014,                0.84181,                0.53456,                 1.2736,                 1.1013,                  1.997,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     91,                0.51483,                0.77827,                 1.1177,                0.80724,                0.78707,                0.83474,                0.52236,                 1.2871,                 1.1258,                 1.9822,             6.8125e-05,             6.8125e-05,             6.8125e-05
